Hospital;%_Hospital;Split;Total_split;BreastMRI;CXR;HeadCT;ChestCT;Hand;AbdomenCT
1;1.83%;Train;809;4.08%;27.56%;15.70%;50.43%;0.00%;2.22%
1;1.83%;Val;159;3.77%;27.67%;15.72%;50.94%;0.00%;1.89%
1;1.83%;Test;113;4.42%;27.43%;15.93%;49.56%;0.00%;2.65%
10;1.11%;Train;486;15.43%;0.00%;42.59%;3.09%;32.72%;6.17%
10;1.11%;Val;96;15.62%;0.00%;42.71%;3.12%;32.29%;6.25%
10;1.11%;Test;70;15.71%;1.43%;40.00%;4.29%;32.86%;5.71%
11;2.28%;Train;1005;0.00%;46.07%;1.39%;0.60%;51.24%;0.70%
11;2.28%;Val;199;0.00%;46.23%;1.01%;0.50%;51.76%;0.50%
11;2.28%;Test;139;0.72%;45.32%;2.16%;0.72%;49.64%;1.44%
12;0.39%;Train;172;4.65%;1.74%;3.49%;54.65%;14.53%;20.93%
12;0.39%;Val;32;3.12%;0.00%;3.12%;56.25%;15.62%;21.88%
12;0.39%;Test;28;7.14%;3.57%;7.14%;50.00%;14.29%;17.86%
13;0.95%;Train;418;0.00%;0.00%;8.61%;63.16%;27.75%;0.48%
13;0.95%;Val;82;0.00%;0.00%;8.54%;63.41%;28.05%;0.00%
13;0.95%;Test;60;0.00%;1.67%;10.00%;60.00%;26.67%;1.67%
14;1.74%;Train;769;4.81%;10.40%;51.11%;30.17%;3.51%;0.00%
14;1.74%;Val;152;4.61%;10.53%;51.32%;30.26%;3.29%;0.00%
14;1.74%;Test;107;5.61%;10.28%;49.53%;29.91%;3.74%;0.93%
15;3.55%;Train;1569;6.44%;5.61%;3.00%;0.25%;0.06%;84.64%
15;3.55%;Val;311;6.43%;5.47%;2.89%;0.00%;0.00%;85.21%
15;3.55%;Test;215;6.51%;6.05%;3.26%;0.93%;0.47%;82.79%
16;3.03%;Train;1335;43.15%;3.97%;46.82%;3.90%;1.50%;0.67%
16;3.03%;Val;265;43.40%;3.77%;47.17%;3.77%;1.51%;0.38%
16;3.03%;Test;184;42.39%;4.35%;45.65%;4.35%;1.63%;1.63%
17;0.69%;Train;303;2.97%;0.00%;2.97%;23.76%;24.75%;45.54%
17;0.69%;Val;58;1.72%;0.00%;1.72%;24.14%;25.86%;46.55%
17;0.69%;Test;46;4.35%;2.17%;4.35%;23.91%;23.91%;41.30%
18;2.47%;Train;1090;45.41%;0.00%;16.42%;29.63%;8.53%;0.00%
18;2.47%;Val;216;45.83%;0.00%;16.20%;29.63%;8.33%;0.00%
18;2.47%;Test;150;44.00%;0.67%;16.67%;29.33%;8.67%;0.67%
19;1.95%;Train;860;0.47%;0.70%;5.12%;10.00%;83.72%;0.00%
19;1.95%;Val;170;0.00%;0.59%;4.71%;10.00%;84.71%;0.00%
19;1.95%;Test;121;1.65%;1.65%;5.79%;9.92%;80.17%;0.83%
2;3.01%;Train;1328;0.30%;72.97%;0.08%;0.23%;13.33%;13.10%
2;3.01%;Val;262;0.00%;73.66%;0.00%;0.00%;13.36%;12.98%
2;3.01%;Test;184;1.09%;71.20%;0.54%;1.09%;13.04%;13.04%
20;1.21%;Train;530;37.36%;0.00%;32.64%;0.00%;29.06%;0.94%
20;1.21%;Val;104;37.50%;0.00%;32.69%;0.00%;28.85%;0.96%
20;1.21%;Test;77;36.36%;1.30%;31.17%;1.30%;28.57%;1.30%
21;2.59%;Train;1141;3.68%;13.15%;0.53%;72.30%;9.47%;0.88%
21;2.59%;Val;227;3.52%;13.22%;0.44%;72.69%;9.25%;0.88%
21;2.59%;Test;158;3.80%;13.29%;1.27%;70.25%;10.13%;1.27%
22;0.32%;Train;137;0.00%;6.57%;39.42%;1.46%;5.11%;47.45%
22;0.32%;Val;25;0.00%;4.00%;40.00%;0.00%;4.00%;52.00%
22;0.32%;Test;24;0.00%;12.50%;37.50%;4.17%;8.33%;37.50%
23;6.77%;Train;2989;12.75%;24.16%;10.71%;0.30%;3.51%;48.58%
23;6.77%;Val;596;12.75%;24.16%;10.74%;0.17%;3.52%;48.66%
23;6.77%;Test;404;12.62%;24.01%;10.64%;0.74%;3.71%;48.27%
24;2.85%;Train;1258;0.72%;0.32%;16.85%;14.63%;0.00%;67.49%
24;2.85%;Val;248;0.40%;0.00%;16.94%;14.52%;0.00%;68.15%
24;2.85%;Test;174;1.15%;1.15%;16.67%;14.94%;0.57%;65.52%
25;2.85%;Train;1257;9.39%;45.74%;20.05%;17.82%;0.08%;6.92%
25;2.85%;Val;249;9.24%;46.18%;20.08%;17.67%;0.00%;6.83%
25;2.85%;Test;174;9.77%;44.25%;20.11%;17.82%;0.57%;7.47%
26;2.32%;Train;1025;32.78%;4.39%;1.56%;2.63%;58.63%;0.00%
26;2.32%;Val;204;32.84%;4.41%;1.47%;2.45%;58.82%;0.00%
26;2.32%;Test;141;32.62%;4.96%;2.13%;2.84%;57.45%;0.00%
27;0.20%;Train;88;0.00%;81.82%;0.00%;18.18%;0.00%;0.00%
27;0.20%;Val;17;0.00%;82.35%;0.00%;17.65%;0.00%;0.00%
27;0.20%;Test;15;6.67%;66.67%;0.00%;20.00%;6.67%;0.00%
28;2.22%;Train;979;0.00%;68.34%;12.26%;14.61%;2.76%;2.04%
28;2.22%;Val;194;0.00%;68.56%;12.37%;14.43%;2.58%;2.06%
28;2.22%;Test;135;0.00%;66.67%;12.59%;14.81%;3.70%;2.22%
