Hospital;%_Hospital;Split;Total_split;BreastMRI;CXR;HeadCT;ChestCT;Hand;AbdomenCT
1;2.79%;Train;1233;35.52%;10.62%;1.70%;0.00%;46.55%;5.60%
1;2.79%;Val;244;35.66%;10.66%;1.64%;0.00%;46.72%;5.33%
1;2.79%;Test;169;34.91%;10.65%;2.37%;0.00%;46.15%;5.92%
10;10.67%;Train;4718;62.17%;34.89%;0.30%;0.00%;0.32%;2.33%
10;10.67%;Val;942;62.21%;34.93%;0.21%;0.00%;0.32%;2.34%
10;10.67%;Test;633;61.93%;34.76%;0.47%;0.16%;0.32%;2.37%
11;11.43%;Train;5050;0.30%;5.29%;32.95%;46.28%;14.59%;0.59%
11;11.43%;Val;1008;0.30%;5.26%;32.94%;46.33%;14.58%;0.60%
11;11.43%;Test;679;0.29%;5.45%;32.84%;46.10%;14.58%;0.74%
12;3.60%;Train;1589;0.13%;11.77%;76.34%;0.19%;3.21%;8.37%
12;3.60%;Val;315;0.00%;11.75%;76.83%;0.00%;3.17%;8.25%
12;3.60%;Test;218;0.46%;11.93%;74.77%;0.92%;3.21%;8.72%
13;3.06%;Train;1351;4.59%;0.00%;0.00%;38.42%;56.33%;0.67%
13;3.06%;Val;268;4.48%;0.00%;0.00%;38.43%;56.72%;0.37%
13;3.06%;Test;185;4.86%;0.54%;0.00%;38.38%;55.14%;1.08%
14;1.31%;Train;576;0.69%;1.04%;9.72%;2.60%;85.94%;0.00%
14;1.31%;Val;114;0.00%;0.88%;9.65%;2.63%;86.84%;0.00%
14;1.31%;Test;81;2.47%;1.23%;9.88%;3.70%;82.72%;0.00%
15;20.45%;Train;9040;5.88%;9.42%;27.25%;0.76%;1.88%;54.80%
15;20.45%;Val;1805;5.87%;9.42%;27.26%;0.72%;1.88%;54.85%
15;20.45%;Test;1211;5.95%;9.50%;27.17%;0.83%;1.90%;54.67%
2;8.62%;Train;3811;0.16%;74.18%;5.88%;2.78%;0.00%;17.00%
2;8.62%;Val;760;0.13%;74.34%;5.79%;2.76%;0.00%;16.97%
2;8.62%;Test;513;0.19%;73.68%;6.04%;2.92%;0.00%;17.15%
3;1.34%;Train;591;0.00%;51.78%;39.42%;0.17%;8.12%;0.51%
3;1.34%;Val;116;0.00%;52.59%;39.66%;0.00%;7.76%;0.00%
3;1.34%;Test;84;1.19%;48.81%;38.10%;1.19%;8.33%;2.38%
4;9.82%;Train;4341;1.75%;0.21%;0.00%;82.10%;15.94%;0.00%
4;9.82%;Val;866;1.73%;0.12%;0.00%;82.22%;15.94%;0.00%
4;9.82%;Test;584;1.88%;0.51%;0.17%;81.51%;15.92%;0.00%
5;5.33%;Train;2354;67.93%;2.46%;0.47%;9.30%;5.69%;14.15%
5;5.33%;Val;467;68.31%;2.36%;0.43%;9.21%;5.57%;14.13%
5;5.33%;Test;321;66.67%;2.80%;0.62%;9.66%;5.92%;14.33%
6;4.58%;Train;2021;1.29%;47.30%;47.80%;3.27%;0.35%;0.00%
6;4.58%;Val;403;1.24%;47.39%;47.89%;3.23%;0.25%;0.00%
6;4.58%;Test;275;1.45%;46.55%;47.27%;3.64%;0.73%;0.36%
7;4.75%;Train;2097;5.87%;6.29%;22.65%;9.06%;0.57%;55.56%
7;4.75%;Val;418;5.74%;6.22%;22.73%;9.09%;0.48%;55.74%
7;4.75%;Test;284;5.99%;6.69%;22.54%;9.15%;0.70%;54.93%
8;8.52%;Train;3765;20.11%;0.03%;4.01%;0.77%;74.93%;0.16%
8;8.52%;Val;751;20.11%;0.00%;3.99%;0.67%;75.10%;0.13%
8;8.52%;Test;507;20.12%;0.20%;4.14%;0.99%;74.36%;0.20%
9;3.72%;Train;1644;8.39%;7.00%;0.18%;22.81%;59.55%;2.07%
9;3.72%;Val;326;8.28%;7.06%;0.00%;23.01%;59.82%;1.84%
9;3.72%;Test;226;8.85%;7.08%;0.88%;22.12%;58.41%;2.65%
