metodo;hospital;AbdomenCT;BreastMRI;ChestCT;CXR;Hand;HeadCT
fedavg;Hospital_1;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000
fedavg;Hospital_2;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9924±0.0000;0.9583±0.0000;1.0000±0.0000
fedavg;Hospital_3;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_4;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_5;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_6;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_7;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_8;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_9;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9922±0.0110
fedavg;Hospital_10;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9565±0.0000;1.0000±0.0000
fedavg;Hospital_11;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9807±0.0068;1.0000±0.0000
fedavg;Hospital_12;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_13;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_14;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_15;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_16;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_17;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_18;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_19;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9863±0.0049;1.0000±0.0000
fedavg;Hospital_20;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9242±0.0429;1.0000±0.0000
fedavg;Hospital_21;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9375±0.0000;1.0000±0.0000
fedavg;Hospital_22;1.0000±0.0000;NA;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_23;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;0.9111±0.0314;1.0000±0.0000
fedavg;Hospital_24;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
fedavg;Hospital_25;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000;1.0000±0.0000
