Hospital;%_Hospital;Split;Total_split;BreastMRI;CXR;HeadCT;ChestCT;Hand;AbdomenCT
1;6.66%;Train;2944;15.18%;16.95%;16.98%;16.95%;16.95%;16.98%
1;6.66%;Val;586;15.19%;16.89%;17.06%;16.89%;16.89%;17.06%
1;6.66%;Test;398;15.08%;17.09%;16.83%;17.09%;17.09%;16.83%
10;6.67%;Train;2946;15.17%;16.97%;16.94%;16.97%;16.97%;16.97%
10;6.67%;Val;588;15.14%;17.01%;16.84%;17.01%;17.01%;17.01%
10;6.67%;Test;397;15.37%;16.88%;17.13%;16.88%;16.88%;16.88%
11;6.67%;Train;2945;15.18%;16.98%;16.98%;16.98%;16.94%;16.94%
11;6.67%;Val;587;15.16%;17.04%;17.04%;17.04%;16.87%;16.87%
11;6.67%;Test;398;15.33%;16.83%;16.83%;16.83%;17.09%;17.09%
12;6.67%;Train;2947;15.17%;16.97%;16.97%;16.97%;16.97%;16.97%
12;6.67%;Val;589;15.11%;16.98%;16.98%;16.98%;16.98%;16.98%
12;6.67%;Test;396;15.40%;16.92%;16.92%;16.92%;16.92%;16.92%
13;6.66%;Train;2944;15.18%;16.98%;16.95%;16.98%;16.95%;16.95%
13;6.66%;Val;586;15.19%;17.06%;16.89%;17.06%;16.89%;16.89%
13;6.66%;Test;399;15.29%;16.79%;17.04%;16.79%;17.04%;17.04%
14;6.67%;Train;2946;15.17%;16.94%;16.97%;16.97%;16.97%;16.97%
14;6.67%;Val;588;15.14%;16.84%;17.01%;17.01%;17.01%;17.01%
14;6.67%;Test;397;15.37%;17.13%;16.88%;16.88%;16.88%;16.88%
15;6.67%;Train;2945;15.18%;16.94%;16.98%;16.94%;16.98%;16.98%
15;6.67%;Val;587;15.16%;16.87%;17.04%;16.87%;17.04%;17.04%
15;6.67%;Test;398;15.33%;17.09%;16.83%;17.09%;16.83%;16.83%
2;6.67%;Train;2946;15.17%;16.94%;16.97%;16.97%;16.97%;16.97%
2;6.67%;Val;588;15.14%;16.84%;17.01%;17.01%;17.01%;17.01%
2;6.67%;Test;397;15.37%;17.13%;16.88%;16.88%;16.88%;16.88%
3;6.67%;Train;2945;15.18%;16.98%;16.94%;16.94%;16.98%;16.98%
3;6.67%;Val;587;15.16%;17.04%;16.87%;16.87%;17.04%;17.04%
3;6.67%;Test;398;15.33%;16.83%;17.09%;17.09%;16.83%;16.83%
4;6.67%;Train;2947;15.17%;16.97%;16.97%;16.97%;16.97%;16.97%
4;6.67%;Val;589;15.11%;16.98%;16.98%;16.98%;16.98%;16.98%
4;6.67%;Test;396;15.40%;16.92%;16.92%;16.92%;16.92%;16.92%
5;6.67%;Train;2945;15.18%;16.94%;16.98%;16.98%;16.98%;16.94%
5;6.67%;Val;587;15.16%;16.87%;17.04%;17.04%;17.04%;16.87%
5;6.67%;Test;398;15.33%;17.09%;16.83%;16.83%;16.83%;17.09%
6;6.67%;Train;2945;15.18%;16.98%;16.94%;16.94%;16.98%;16.98%
6;6.67%;Val;587;15.16%;17.04%;16.87%;16.87%;17.04%;17.04%
6;6.67%;Test;398;15.33%;16.83%;17.09%;17.09%;16.83%;16.83%
7;6.66%;Train;2944;15.18%;16.98%;16.95%;16.98%;16.95%;16.95%
7;6.66%;Val;586;15.19%;17.06%;16.89%;17.06%;16.89%;16.89%
7;6.66%;Test;399;15.29%;16.79%;17.04%;16.79%;17.04%;17.04%
8;6.67%;Train;2946;15.17%;16.97%;16.97%;16.97%;16.97%;16.94%
8;6.67%;Val;588;15.14%;17.01%;17.01%;17.01%;17.01%;16.84%
8;6.67%;Test;397;15.37%;16.88%;16.88%;16.88%;16.88%;17.13%
9;6.67%;Train;2945;15.18%;16.98%;16.98%;16.94%;16.94%;16.98%
9;6.67%;Val;587;15.16%;17.04%;17.04%;16.87%;16.87%;17.04%
9;6.67%;Test;398;15.33%;16.83%;16.83%;17.09%;17.09%;16.83%
